State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BOKARO,BOKARO,0,9,468,302,165,10,22,452,3,0,191,286,0,415,63,477,0,475,1,475,1,474,2,476,0,21,455,476,0
CHATRA,CHATRA,0,207,316,140,337,46,244,251,28,12,174,337,0,12,509,522,0,502,21,509,14,214,308,489,34,162,361,519,4
DEOGHAR,DEOGHAR,0,980,160,72,1005,63,1,1117,23,153,888,99,0,253,885,1139,1,721,420,1141,0,1068,73,1141,0,773,367,1140,1
DHANBAD,DHANBAD,10,446,332,197,485,106,32,681,76,304,257,226,2,375,407,670,117,585,204,773,16,688,101,783,6,397,392,762,27
DUMKA,DUMKA,0,65,2,0,62,5,0,66,1,19,48,0,0,21,46,67,0,50,17,67,0,61,6,67,0,62,5,67,0
EAST SINGHBUM,EAST SINGHBUM,0,130,289,75,343,0,22,379,17,7,116,296,0,150,270,419,0,418,0,417,1,405,13,412,6,233,185,418,0
GARHWA,GARHWA,0,148,203,31,233,87,16,254,81,52,183,116,0,3,348,345,6,262,89,351,0,213,137,351,0,231,120,351,0
GIRIDIH,GIRIDIH,0,301,216,16,481,20,11,431,75,176,321,20,11,29,477,514,3,358,159,501,16,486,31,516,1,402,115,516,1
GODDA,GODDA,0,0,7,7,0,0,0,7,0,3,3,1,0,0,7,7,0,7,0,7,0,7,0,7,0,7,0,7,0
GUMLA,GUMLA,0,1221,332,89,1322,142,3,1448,102,118,1222,213,1,682,871,1539,15,1143,410,1547,6,1474,78,1553,0,872,680,1544,8
HAZARIBAGH,HAZARIBAGH,0,221,251,1,114,357,16,423,33,145,133,194,0,282,190,472,0,385,87,472,0,470,1,472,0,450,22,471,0
JAMTARA,JAMTARA,0,673,186,14,676,169,1,706,152,144,630,85,0,733,126,859,0,504,355,859,0,728,131,859,0,516,342,859,0
KODERMA,KODERMA,0,662,70,9,615,109,45,656,32,146,577,9,1,9,720,730,0,520,214,729,5,710,23,733,1,608,126,731,3
LATEHAR,LATEHAR,3,47,19,7,8,54,4,24,41,14,33,22,0,18,51,69,0,0,69,0,0,0,0,0,0,0,0,0,0
LOHARDAGA,LOHARDAGA,0,58,52,69,37,4,1,48,61,21,49,40,0,53,57,110,0,110,0,100,10,110,0,109,0,73,37,109,0
PAKUR,PAKUR,0,507,100,1,534,72,0,559,48,106,474,27,0,176,431,607,0,357,250,607,0,499,108,607,0,390,216,607,0
PALAMU,PALAMU,0,35,106,46,91,5,12,87,43,31,37,72,1,3,133,138,0,113,29,142,0,124,18,134,9,0,0,108,35
RAMGARH,RAMGARH,0,21,48,1,68,0,21,38,9,14,34,21,0,11,58,69,0,31,38,69,0,51,18,69,0,33,36,69,0
RANCHI,RANCHI,0,5,0,0,5,0,0,3,2,4,1,0,0,5,0,5,0,1,4,5,0,5,0,5,0,5,0,5,0
SAHEBGANJ,SAHEBGANJ,4,305,1,298,11,1,1,305,4,283,27,0,0,0,310,310,0,309,1,309,1,303,7,310,0,308,1,267,43
SARAIKELA KHARSAWAN,SARAIKELA KHARSAWAN,0,39,114,7,85,61,34,114,5,33,88,32,0,105,46,153,0,70,83,153,0,58,95,135,18,27,126,94,59
SIMDEGA,SIMDEGA,0,5,5,0,9,1,6,4,0,5,4,1,0,7,3,10,0,10,0,10,0,4,6,10,0,5,5,10,0
WEST SINGHBHUM,WEST SINGHBHUM,0,95,44,0,124,15,0,100,39,43,52,44,0,61,78,139,0,139,0,139,0,138,1,139,0,139,0,139,0
