date,State,District,temperature,humidity,rainfall
13-07-2025,Andaman and Nicobar,Andaman Islands,27.83,81.05,49.46
13-07-2025,Andaman and Nicobar,Nicobar Islands,27.35,83.08,263.83
13-07-2025,Andhra Pradesh,Srikakulam,30.1,71.53,3.92
13-07-2025,Andhra Pradesh,Vishakhapatnam,30.07,72.12,1.71
13-07-2025,Andhra Pradesh,Vizianagaram,27.75,73.53,17.35
13-07-2025,Andhra Pradesh,Warangal,29.92,68.45,4.57
13-07-2025,Andhra Pradesh,West Godavari,30.4,67.92,10.94
13-07-2025,Andhra Pradesh,East Godavari,31.96,58.98,1.48
13-07-2025,Andhra Pradesh,Guntur,31.69,61.4,2.91
13-07-2025,Andhra Pradesh,Krishna,31.18,65.4,2.5
13-07-2025,Andhra Pradesh,Nellore,30.53,62.38,116.31
13-07-2025,Andhra Pradesh,Prakasam,32.18,56.3,11.78
13-07-2025,Arunachal Pradesh,Changlang,7.92,93.55,64.47
13-07-2025,Arunachal Pradesh,East Kameng,14.21,93.28,100.87
13-07-2025,Arunachal Pradesh,East Siang,14.86,86.4,42.46
13-07-2025,Arunachal Pradesh,Kurung Kumey,6.11,87.6,29.35
13-07-2025,Arunachal Pradesh,Lohit,6.48,88.1,45.33
13-07-2025,Arunachal Pradesh,Lower Dibang Valley,11.18,87.58,23.89
13-07-2025,Arunachal Pradesh,Lower Subansiri,26.09,87.72,49.47
13-07-2025,Arunachal Pradesh,Papum Pare,11.72,92.42,89.17
13-07-2025,Arunachal Pradesh,Tawang,1.43,88.33,21.51
13-07-2025,Arunachal Pradesh,Tirap,27.52,88.53,95
13-07-2025,Arunachal Pradesh,Upper Dibang Valley,3.66,85.17,18.12
13-07-2025,Arunachal Pradesh,Upper Siang,4.78,85.15,15.3
13-07-2025,Arunachal Pradesh,Upper Subansiri,4.01,87.4,15.43
13-07-2025,Arunachal Pradesh,West Kameng,-1.22,90.12,5.54
13-07-2025,Arunachal Pradesh,West Siang,13.18,83.17,15.19
13-07-2025,Assam,Barpeta,27.71,82.92,47.81
13-07-2025,Assam,Bongaigaon,27.49,83.75,50.83
13-07-2025,Assam,Cachar,26.8,88,60.01
13-07-2025,Assam,Darrang,26.59,89,91.2
13-07-2025,Assam,Dhemaji,27.27,86.83,103.01
13-07-2025,Assam,Dhuburi,28.54,79.6,68.75
13-07-2025,Assam,Dibrugarh,27.97,84.97,84.69
13-07-2025,Assam,Goalpara,28.88,77.33,36.78
13-07-2025,Assam,Golaghat,28.6,80.58,49.23
13-07-2025,Assam,Hailakandi,26.8,91.12,84.41
13-07-2025,Assam,Jorhat,28.97,79.42,42.74
13-07-2025,Assam,Kamrup,28.65,80.95,55.92
13-07-2025,Assam,Karbi Anglong,28.01,85.53,78.6
13-07-2025,Assam,Karimganj,27.26,87.42,63.38
13-07-2025,Assam,Kokrajhar,26.41,88.47,53.47
13-07-2025,Assam,Lakhimpur,28.33,85.45,68.08
13-07-2025,Assam,Marigaon,29.41,76.33,68.24
13-07-2025,Assam,Nagaon,27.98,87.62,51.9
13-07-2025,Assam,Nalbari,28.4,78.8,36.96
13-07-2025,Assam,North Cachar Hills,27.34,85.12,46.96
13-07-2025,Assam,Sibsagar,27.27,88.2,87.3
13-07-2025,Assam,Sonitpur,28.27,81.67,42.38
13-07-2025,Assam,Tinsukia,27.32,86.2,159.04
13-07-2025,Bihar,Araria,28.9,74.97,48.54
13-07-2025,Bihar,Aurangabad,29.61,70.62,83.63
13-07-2025,Bihar,Banka,29.61,74.78,89.5
13-07-2025,Bihar,Begusarai,29.01,77.45,135.06
13-07-2025,Bihar,Bhabua,30.26,67.5,57.02
13-07-2025,Bihar,Bhagalpur,29.18,76.92,110.33
13-07-2025,Bihar,Bhojpur,30.94,65.05,36.39
13-07-2025,Bihar,Buxar,30.63,65.58,45.99
13-07-2025,Bihar,Darbhanga,30.49,66.83,24.31
13-07-2025,Bihar,Gaya,29.82,69.88,60.83
13-07-2025,Bihar,Gopalganj,31.54,61.48,21.86
13-07-2025,Bihar,Jamui,29.94,72.17,138.29
